BFCA target,BFCA report,BFCA distractor,BFCA probe,Behavior,VVIQ pre,VVIQ post,OSIQ visual,OSIQ spatial,Strategy visual,Strategy verbal,Strategy spatial,Strategy cardinal,Strategy time,Strategy code,Strategy other,Weak,Strong
2.66522833017023,5.26893623514378,2.55172091507794,-0.246738588135558,5.57763671875,75,63,55,43,0.5,0.125,0.375,0,0,0,0,0,1
5.39000552414466,1.6586711885452,2.83775590784301,-3.27422846659059,4.25439453125,72,61,52,30,0.3,0.4,0.3,0,0,0,0,0,1
11.7928315306114,5.85207101611466,2.14434784208246,2.62872327187101,4.30078125,41,47,41,43,0.25,0.25,0.166666666666667,0,0.25,0.0833333333333333,0,1,0
8.76427297050787,9.4719295039771,-3.01623280545768,0.020589153691418,4.369140625,75,75,54,49,0.266666666666667,0.0666666666666667,0.2,0.2,0.266666666666667,0,0,0,1
-0.322143889691302,-1.11008198015626,4.02166535096227,1.10539636438057,3.4462890625,49,56,41,32,0.125,0.375,0.125,0.125,0,0.25,0,1,0
14.2784916959987,5.5945725407657,-4.54448033801898,-1.60173569716903,3.841796875,52,52,41,31,0.285714285714286,0,0.214285714285714,0.142857142857143,0.285714285714286,0.0714285714285714,0,1,0
-2.02055905232475,1.45307106546884,4.40449049584971,-0.489314884703716,3.05078125,47,60,51,55,0.375,0,0.25,0,0.375,0,0,1,0
20.4822285029132,18.6081217064558,2.93894069918982,0.148329557500097,6.7421875,27,28,37,43,0.272727272727273,0.181818181818182,0.272727272727273,0,0,0,0.272727272727273,1,0
0.98442451251807,3.7139789216113,1.91935542191304,0.372370572347665,4.427734375,69,62,55,42,0.428571428571429,0,0.142857142857143,0,0.285714285714286,0.142857142857143,0,0,1
20.3298021135127,15.4400121344825,7.5242037973635,1.64795669721737,5.5751953125,71,77,63,42,0.0714285714285714,0.214285714285714,0.142857142857143,0,0.285714285714286,0.214285714285714,0.0714285714285714,0,1
1.30005423436266,4.13438398694054,8.44723664393215,0.127904900539361,3.78564453125,70,76,59,34,0.333333333333333,0,0.222222222222222,0,0.444444444444444,0,0,0,1
4.95975444767728,2.3937928788186,10.5283159770834,1.19457672685359,5.2236328125,70,69,44,43,0.125,0.25,0.1875,0.25,0,0,0.1875,0,1
4.65103137648159,3.56161993189267,6.83794341070648,1.68205965476126,2.552734375,38,49,64,57,1,0,0,0,0,0,0,1,0
14.4205688175859,9.10965398065597,5.31501686233288,-1.68526226867221,5.50927734375,75,75,60,53,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0.142857142857143,0,1
14.4851315713393,11.4545229040138,-3.73231231515522,0.651412420761521,6.0439453125,23,28,19,48,0.2,0.2,0.2,0,0,0,0.4,1,0
8.9573844322861,5.38698774100083,8.30286838875668,-2.34645320272114,4.39111328125,77,75,55,45,0.25,0.25,0.25,0,0.25,0,0,0,1
22.4697930921619,20.348509980099,5.53061059402036,0.614978108419262,7.8798828125,29,30,21,53,0,0.166666666666667,0,0,0.5,0,0.333333333333333,1,0
2.60577060140937,4.57125059069056,10.1468742290626,-3.95957225664917,3.63427734375,74,77,63,45,0.333333333333333,0,0.25,0.0833333333333333,0,0,0.333333333333333,0,1
9.55447221862245,7.50356663530687,-1.31174666373114,-2.9517678611273,5.68017578125,70,70,47,40,1,0,0,0,0,0,0,0,1
18.747517057549,19.4577378448303,12.3409335907648,-3.84116521431165,8.7392578125,68,74,57,38,0.117647058823529,0.176470588235294,0.176470588235294,0.235294117647059,0,0.176470588235294,0.117647058823529,0,1
4.54411884130605,5.17686407613474,-1.08209317719111,-1.98868885755808,5.2041015625,47,38,50,36,0.375,0.125,0.25,0,0,0.25,0,1,0
18.9486307202251,13.8181601293021,9.79156301456672,0.399018489528204,4.83056640625,71,66,58,36,0.2,0,0.2,0,0.6,0,0,0,1
28.8937742928876,25.7540831505597,-0.685265954459506,0.12064046971517,9.61572265625,49,60,49,51,0.6,0,0.2,0,0.2,0,0,1,0
21.4762384371278,20.0889306189078,-3.14770151417569,2.58185916297276,7.796875,68,65,58,37,0.3,0,0.2,0,0.3,0.1,0.1,0,1
23.9595915745955,24.2217366242011,-2.57371427573787,-0.340385225929532,7.03271484375,68,65,62,42,0.375,0.125,0,0.125,0.375,0,0,0,1
32.4630751419356,30.0133625209665,7.56973756981764,0.344752716287783,7.240234375,48,60,54,49,0.272727272727273,0.272727272727273,0,0,0.272727272727273,0,0.181818181818182,1,0
3.58472787416548,1.44614667466894,0.287072137983623,-1.25560446919544,2.4453125,66,54,49,36,0.375,0,0,0.125,0.5,0,0,0,1
-0.330323150382851,4.84334178704679,8.02629318722751,2.61622611238971,6.42724609375,51,61,58,34,0.181818181818182,0,0.181818181818182,0,0.363636363636364,0.272727272727273,0,1,0
25.1180275397593,22.1605841797657,-4.41740057162509,1.4899940601344,12.17431640625,52,69,62,24,0.272727272727273,0.363636363636364,0,0,0.363636363636364,0,0,1,0
9.46981627710865,2.3231491662684,-1.72862937707653,-1.27878953866716,7.83837890625,49,69,62,54,0.142857142857143,0.142857142857143,0.214285714285714,0.214285714285714,0.0714285714285714,0.214285714285714,0,1,0
5.24818825854071,9.04104848225236,6.27651956024402,-2.55566458393927,4.3544921875,72,69,60,49,0.1,0.3,0.3,0.3,0,0,0,0,1
10.0374656354571,4.32262267264454,-6.56515297391344,-0.410091320921771,3.78076171875,66,64,54,59,0.333333333333333,0.111111111111111,0.111111111111111,0.222222222222222,0.222222222222222,0,0,0,1
